"","X17.AAG","GSK.1904529A","Bosutinib","RDEA119","Nutlin.3a","PD.0325901","Epothilone.B"
"78",-1.163124,1.407702,2.933838,-0.27266,4.273931,-3.14302,-0.760637
"79",-1.354319,4.375878,3.757745,4.568927,6.428814,1.487106,-3.425439
"80",-1.75479,4.110646,5.386623,2.397656,6.111096,3.207934,-3.75884
"81",4.377592,3.250854,0.003929,2.642673,3.847712,-2.635056,-4.652494
"82",-0.760062,4.033676,1.027702,1.020925,3.936905,-0.337455,-6.605306
"83",4.687974,2.670156,5.324467,5.678236,6.654896,3.321261,-4.680662
"84",0.891669,3.780794,4.762123,5.20596,6.382974,3.514452,-2.128828
"85",-0.415941,4.30439,4.816553,-2.790074,6.319013,-6.211946,-4.450538
"86",4.545281,3.099392,3.830594,4.017575,4.037306,3.187209,-4.538591
"87",2.147152,5.211899,-0.521745,6.175598,1.198633,3.689596,-4.790839
"88",0.752697,2.598605,-2.54609,2.801719,1.599339,0.693001,-5.266771
"89",1.267832,5.530808,5.214517,3.748578,5.562437,1.163992,1.946891
"90",-1.407854,4.399279,-0.724634,2.623882,6.331067,-0.150928,-5.559361
"91",1.494456,3.817422,0.446349,-0.019028,4.906063,-1.658905,-6.784641
"92",-3.090364,2.714659,2.737039,3.256366,6.656449,1.050449,-3.37276
"93",1.565586,4.172606,5.520451,1.589647,5.945832,2.338915,-6.387101
"94",2.970005,3.906228,5.356349,2.724976,4.342472,-0.086479,-4.942513
"95",3.817877,3.454043,5.439302,1.116081,6.702143,-3.179989,-2.783448
"96",-0.584729,2.11089,4.604614,5.044899,4.721797,-0.408613,-4.644748
"97",-3.580577,4.446872,4.382795,-0.841046,5.324839,-1.856266,-3.329744
"98",0.809959,5.586701,4.253903,4.371878,1.275325,1.669779,-1.679502
"99",-0.112541,4.647495,3.323934,3.400675,2.143263,0.464442,-2.162764
"100",3.127904,1.534971,1.999414,1.337804,1.089081,-1.419873,-2.198124
"101",2.054645,3.369276,5.381482,2.939647,6.44934,-0.437615,0.633198
"102",-0.8515,4.50614,0.521964,0.334214,1.487186,-1.094387,-5.14045
"103",-1.041788,5.024248,4.566649,6.205527,6.88575,2.320123,-5.45078
"104",-0.680218,5.590341,0.318391,4.559482,3.572278,1.878657,-2.941414
"105",0.181328,4.411855,2.432145,2.065858,6.127593,0.493821,-5.765866
"106",-0.989183,4.598688,5.775767,1.040827,0.964971,-1.716156,-3.3293
"107",1.514447,5.011943,5.574144,3.144135,7.162875,0.828878,-2.735914
"108",-1.081285,2.131885,5.376284,4.162775,6.060031,1.181625,-6.425569
"109",3.165344,2.628601,5.166931,5.035736,6.501756,0.553019,0.059236
"110",-3.902633,2.736976,-0.700233,-2.208426,3.295995,-4.356453,-0.045977
"111",-3.268331,2.626119,1.292318,2.506793,6.078428,1.353246,-1.20856
"112",1.026623,2.943757,4.215675,0.055264,5.791477,3.009616,-7.234647
"113",-1.355841,4.653685,3.367368,-3.147396,2.689726,-5.873732,-6.039659
"114",-1.148135,1.846773,2.210501,3.156958,4.583582,1.745091,-10.507442
